PROSPERO;SO;AU_CO;PY
Yes;BMJ OPEN;ENGLAND;2017
Yes;SYST REV;UNITED STATES;2017
Yes;BMJ OPEN;ENGLAND;2017
Yes;JMIR RES PROTOC;CANADA;2017
Yes;SYST REV;ENGLAND;2017
Yes;BMJ OPEN;ENGLAND;2017
Yes;BMJ OPEN;ENGLAND;2017
Yes;BMJ OPEN;ENGLAND;2017
Yes;SYST REV;ENGLAND;2017
Yes;SYST REV;ENGLAND;2018
Yes;BMJ OPEN;UNITED STATES;2017
Yes;BMJ OPEN;ENGLAND;2017
Yes;SYST REV;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;TRIALS;ENGLAND;2018
Yes;SYST REV;ENGLAND;2018
Yes;SYST REV;ENGLAND;2017
Yes;BMJ OPEN;ENGLAND;2017
Yes;SYST REV;ENGLAND;2018
Yes;SYST REV;ENGLAND;2018
Yes;SYST REV;ENGLAND;2017
Yes;JMIR RES PROTOC;CANADA;2017
Yes;SYST REV;ENGLAND;2018
Yes;SYST REV;ENGLAND;2018
Yes;SYST REV;ENGLAND;2017
Yes;BMJ OPEN;ENGLAND;2017
Yes;TRIALS;UNITED STATES;2017
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;SYST REV;ENGLAND;2017
Yes;SYST REV;ENGLAND;2017
Yes;SYST REV;INTERNATIONAL;2018
Yes;SYST REV;ENGLAND;2017
Yes;BMJ OPEN;ENGLAND;2017
Yes;SYST REV;ENGLAND;2017
Yes;SYST REV;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2017
Yes;BMJ OPEN;ENGLAND;2017
Yes;SYST REV;ENGLAND;2017
Yes;JMIR RES PROTOC;CANADA;2017
Yes;SYST REV;ENGLAND;2017
Yes;SYST REV;ENGLAND;2018
Yes;J EAT DISORD;ENGLAND;2017
Yes;BMJ OPEN;ENGLAND;2017
Yes;BMJ OPEN;ENGLAND;2017
Yes;SYST REV;ENGLAND;2018
Yes;SYST REV;ENGLAND;2017
Yes;BMJ OPEN;ENGLAND;2017
Yes;BMJ OPEN;ENGLAND;2017
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;SYST REV;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2017
Yes;SYST REV;UNITED STATES;2017
Yes;SYST REV;ENGLAND;2018
Yes;SYST REV;ENGLAND;2017
Yes;BMJ OPEN;ENGLAND;2018
Yes;SYST REV;UNITED STATES;2017
Yes;SYST REV;ENGLAND;2017
Yes;SYST REV;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;SYST REV;UNITED STATES;2018
Yes;SYST REV;ENGLAND;2017
Yes;SYST REV;ENGLAND;2017
Yes;SYST REV;ENGLAND;2017
Yes;JMIR RES PROTOC;CANADA;2018
Yes;BMJ OPEN;ENGLAND;2017
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;SYST REV;ENGLAND;2017
Yes;SYST REV;UNITED STATES;2018
Yes;BMJ OPEN;ENGLAND;2017
Yes;SYST REV;ENGLAND;2017
Yes;BMJ OPEN;ENGLAND;2017
Yes;SYST REV;ENGLAND;2018
Yes;BMJ OPEN;UNITED KINGDOM;2017
Yes;SYST REV;ENGLAND;2017
Yes;MEDICINE (BALTIMORE);UNITED STATES;2017
Yes;BMJ OPEN;ENGLAND;2017
Yes;SYST REV;ENGLAND;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2017
Yes;BMJ OPEN;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;SYST REV;UNITED STATES;2017
Yes;BMJ OPEN;ENGLAND;2018
Yes;JMIR RES PROTOC;CANADA;2018
Yes;SYST REV;ENGLAND;2017
Yes;SYST REV;ENGLAND;2018
Yes;JMIR RES PROTOC;CANADA;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;SYST REV;ENGLAND;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;SYST REV;ENGLAND;2017
Yes;SYST REV;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;SYST REV;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2017
Yes;SYST REV;ENGLAND;2017
Yes;SYST REV;ENGLAND;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2017
Yes;BMJ OPEN;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;SYST REV;ENGLAND;2018
Yes;SYST REV;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;SYST REV;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;JMIR RES PROTOC;CANADA;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;SYST REV;UNITED STATES;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;SYST REV;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;J ADV NURS;ENGLAND;2018
Yes;BMJ OPEN;UNITED KINGDOM;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;SYST REV;ENGLAND;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;SYST REV;ENGLAND;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;BMJ OPEN;ENGLAND;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;SYST REV;ENGLAND;2018
Yes;MEDICINE (BALTIMORE);UNITED STATES;2018
Yes;BMJ OPEN;ENGLAND;2016
No;SYST REV;ENGLAND;2016
No;SYST REV;ENGLAND;2017
No;SYST REV;ENGLAND;2017
No;CAN J AGING;INTERNATIONAL;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2016
No;BMJ OPEN;ENGLAND;2016
No;BMJ OPEN;ENGLAND;2017
No;SYST REV;CANADA;2013
No;SYST REV;CANADA;2016
No;TRIALS;ENGLAND;2017
No;SYST REV;ENGLAND;2017
No;SYST REV;ENGLAND;2017
No;ACTA ANAESTHESIOL SCAND;ENGLAND;2018
No;NPJ PRIM CARE RESPIR MED;ENGLAND;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;INT J STROKE;UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;ACTA ANAESTHESIOL SCAND;ENGLAND;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;SYST REV;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;PSYCHIATRY INVESTIG;KOREA (SOUTH);2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;ACTA ANAESTHESIOL SCAND;ENGLAND;2018
No;SEMIN. ARTHRITIS RHEUM.;UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;SYST REV;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;ACTA MED PORT;PORTUGAL;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;HAND THER;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;ACTA ANAESTHESIOL SCAND;ENGLAND;2018
No;J MECH BEHAV BIOMED MATER;NETHERLANDS;2018
No;BMJ OPEN;ENGLAND;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;UNITED KINGDOM;2018
No;BMJ OPEN;ENGLAND;2018
No;SYST REV;UNITED STATES;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;ACTA ANAESTHESIOL SCAND;ENGLAND;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;KNEE SURG SPORTS TRAUMATOL ARTHROSC;GERMANY;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;UNITED KINGDOM;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;UNITED STATES;2018
No;ALZHEIMERS RES THER;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;ACTA ANAESTHESIOL SCAND;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;INTERNATIONAL;2018
No;BMJ OPEN;INTERNATIONAL;2018
No;BMJ OPEN;ENGLAND;2018
No;JMIR RES PROTOC;CANADA;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;JMIR RES PROTOC;CANADA;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;SYST REV;ENGLAND;2018
No;J MED LIFE;ROMANIA;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;UNITED KINGDOM;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;CLIN ORAL INVESTIG;GERMANY;2018
No;BMJ OPEN;ENGLAND;2018
No;SYST REV;UNITED STATES;2018
No;BMJ OPEN;ENGLAND;2018
No;BMJ OPEN;ENGLAND;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2018
No;MEDICINE (BALTIMORE);UNITED STATES;2018
No;SYST REV;ENGLAND;2017
No;SYST REV;ENGLAND;2017
No;MEDICINE (BALTIMORE);UNITED STATES;2017
No;CAN. COMMUN. DIS. REP.;CANADA;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;ACTA INFORM MED;BOSNIA AND HERZEGOVINA;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;SYST REV;CANADA;2017
No;BMJ OPEN;UNITED KINGDOM;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;SYST REV;ENGLAND;2017
No;PSYCHOONCOLOGY;ENGLAND;2017
No;TAIWAN J OBSTET GYNECOL;CHINA (REPUBLIC : 1949- );2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;BMJ OPEN;ENGLAND;2017
No;SYST REV;ENGLAND;2017
No;EPILEPSIA;UNITED KINGDOM;2017
No;BMJ OPEN;ENGLAND;2017
No;MEDICINE (BALTIMORE);UNITED STATES;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;RES INVOLV ENGAGEM;UNITED KINGDOM;2017
No;TRIALS;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;REV ASSOC MED BRAS (1992);BRAZIL;2017
No;BMJ OPEN;UNITED KINGDOM;2017
No;BMJ OPEN;ENGLAND;2017
No;CLIN TRANSL ALLERGY;UNITED KINGDOM;2017
No;CLIN TRANSL ALLERGY;UNITED KINGDOM;2017
No;CLIN TRANSL ALLERGY;UNITED KINGDOM;2017
No;CLIN TRANSL ALLERGY;UNITED KINGDOM;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;CANADA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;UNITED STATES;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;ACTA ANAESTHESIOL SCAND;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;FRONT PUBLIC HEALTH;SWITZERLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;SYST REV;UNITED KINGDOM;2017
No;PLOS CURR;UNITED STATES;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;SYST REV;ENGLAND;2017
No;PHOTODIAGNOSIS PHOTODYN THER;NETHERLANDS;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;BMC RES NOTES;ENGLAND;2017
No;SYST REV;ENGLAND;2017
No;ACTA ANAESTHESIOL SCAND;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;JMIR RES PROTOC;UNITED STATES;2017
No;TRIALS;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;SYST REV;ENGLAND;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;UNITED KINGDOM;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;UNITED KINGDOM;2017
No;J ADV NURS;ENGLAND;2017
No;TRIALS;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;JMIR RES PROTOC;CANADA;2017
No;SYST REV;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BR J SPORTS MED;ENGLAND;2017
No;J. ORAL MAXILLOFAC. SURG.;UNITED STATES;2017
No;BMJ OPEN;ENGLAND;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;J. PERIODONTOL.;UNITED STATES;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;UNITED STATES;2017
No;BMJ OPEN;ENGLAND;2017
No;FOOD CHEM. TOXICOL.;UNITED KINGDOM;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;UNITED KINGDOM;2017
No;BMJ OPEN;ENGLAND;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;BMJ OPEN;UNITED KINGDOM;2017
No;BMJ OPEN;ENGLAND;2017
No;NPJ PRIM CARE RESPIR MED;UNITED KINGDOM;2017
No;PLOS ONE;UNITED STATES;2017
No;SYST REV;ENGLAND;2017
No;EVID BASED PRECLIN MED;UNITED KINGDOM;2017
No;BMC INFECT. DIS.;ENGLAND;2017
No;PLOS ONE;UNITED STATES;2017
No;J HAND THER;UNITED STATES;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;JBI DATABASE SYSTEM REV IMPLEMENT REP;AUSTRALIA;2017
No;BMJ OPEN;ENGLAND;2017
No;JMIR RES PROTOC;CANADA;2017
No;J ADV NURS;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;PLOS ONE;UNITED STATES;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;SYST REV;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
No;BMJ OPEN;ENGLAND;2017
